City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,sinop,41.7711,34.8709,7.24,78,57,3.64,TR,2024-01-01
138,galliano,29.4422,-90.2992,11.67,93,0,0.0,US,2024-01-01
139,ilhabela,-23.7781,-45.3581,22.25,86,97,3.45,BR,2024-01-01
140,aykhal,66.0,111.5,-23.05,100,100,0.57,RU,2024-01-01
141,kolonia town,6.964,158.206,29.0,84,75,3.6,FM,2024-01-01
142,tazacorte,28.629,-17.9293,17.54,59,0,3.09,ES,2024-01-01
143,malango,-2.9627,119.9001,27.31,77,76,1.53,ID,2024-01-01
144,tatarsk,55.219,75.9828,-9.11,96,100,3.95,RU,2024-01-01
145,midvagur,62.0511,-7.1939,6.46,81,100,14.92,FO,2024-01-01
146,tingo maria,-9.2895,-76.0088,20.42,98,100,0.37,PE,2024-01-01
147,fort mcmurray,56.7268,-111.381,1.77,75,20,5.14,CA,2024-01-01
148,bubaque,11.2833,-15.8333,25.96,68,15,4.39,GW,2024-01-01
149,rybinsk,58.0446,38.8426,-14.26,94,100,4.92,RU,2024-01-01
150,kuala terengganu,5.3302,103.1408,29.97,74,20,2.68,MY,2024-01-01
151,fort bragg,35.139,-79.006,7.12,77,0,1.54,US,2024-01-01
152,ust-nera,64.5667,143.2,-43.67,98,75,2.1,RU,2024-01-01
153,kattivakkam,13.2167,80.3167,29.05,58,81,5.24,IN,2024-01-01
154,kayangel,8.0823,134.7173,28.6,74,77,1.79,PW,2024-01-01
155,nishinoomote,30.7333,131.0,15.31,58,75,3.09,JP,2024-01-01
156,sola,-13.8833,167.55,27.91,79,60,7.45,VU,2024-01-01
157,magadan,59.5667,150.8,-28.04,84,23,2.97,RU,2024-01-01
158,onega,63.9061,38.1404,-30.76,100,8,0.54,RU,2024-01-01
159,tahe,52.3333,124.7333,-17.47,85,100,3.19,CN,2024-01-01
160,odemira,37.598,-8.6397,10.65,95,84,1.68,PT,2024-01-01
161,dudinka,69.4058,86.1778,-30.74,91,100,5.36,RU,2024-01-01
162,kolonia,50.9333,6.95,9.42,71,75,6.69,DE,2024-01-01
163,lionel town,17.8101,-77.2406,25.94,83,7,2.67,JM,2024-01-01
164,iskateley,67.6803,53.1512,-22.21,100,52,4.02,RU,2024-01-01
165,newnham,-41.3833,147.1333,24.53,46,40,6.17,AU,2024-01-01
166,qandala,11.472,49.8728,24.1,68,86,2.09,SO,2024-01-01
167,harper,4.375,-7.7169,26.24,84,62,2.4,LR,2024-01-01
168,ati,13.2154,18.3353,18.68,20,1,3.69,TD,2024-01-01
169,shush,32.1942,48.2436,15.91,59,67,1.4,IR,2024-01-01
170,vinces,-1.55,-79.7333,25.61,87,100,0.1,EC,2024-01-01
171,st. john's,47.5649,-52.7093,0.64,90,75,5.81,CA,2024-01-01
172,tura,25.5198,90.2201,23.52,43,0,1.03,IN,2024-01-01
173,mersa matruh,31.3525,27.2453,11.11,87,0,2.06,EG,2024-01-01
174,saudarkrokur,65.7461,-19.6394,0.86,85,100,5.8,IS,2024-01-01
175,rexburg,43.826,-111.7897,-5.32,83,0,0.0,US,2024-01-01
176,san vicente,-26.6167,-54.1333,17.98,94,26,1.11,AR,2024-01-01
177,punta arenas,-53.15,-70.9167,8.06,87,75,3.6,CL,2024-01-01
178,berdigestyakh,62.0989,126.6992,-23.7,98,100,2.17,RU,2024-01-01
179,bredasdorp,-34.5322,20.0403,19.28,84,24,6.29,ZA,2024-01-01
180,kourou,5.1552,-52.6478,23.03,82,44,2.75,GF,2024-01-01
181,kiama,-34.6833,150.8667,23.65,79,90,4.02,AU,2024-01-01
182,iguape,-24.7081,-47.5553,22.63,86,99,4.34,BR,2024-01-01
183,belyy yar,53.6039,91.3903,-2.06,50,0,9.0,RU,2024-01-01
184,puerto baquerizo moreno,-0.9,-89.6,23.99,91,5,3.78,EC,2024-01-01
185,rio gallegos,-51.6226,-69.2181,13.03,67,0,3.6,AR,2024-01-01
186,uturoa,-16.7333,-151.4333,27.83,80,94,4.59,PF,2024-01-01
187,atafu village,-8.5421,-172.5159,28.85,70,100,1.73,TK,2024-01-01
188,maktar,35.858,9.2007,7.43,63,100,1.74,TN,2024-01-01
189,greymouth,-42.4667,171.2,14.67,64,79,4.26,NZ,2024-01-01
190,plastun,44.7561,136.2939,-6.04,29,57,1.64,RU,2024-01-01
191,la ronge,55.1001,-105.2842,-3.86,80,75,1.54,CA,2024-01-01
192,susaki,33.3667,133.2833,13.04,48,5,1.69,JP,2024-01-01
193,prince rupert,54.3161,-130.3201,6.83,91,100,7.72,CA,2024-01-01
194,nandikotkur,15.8667,78.2667,25.02,53,36,2.96,IN,2024-01-01
195,port moresby,-9.4431,147.1797,33.68,62,40,5.14,PG,2024-01-01
196,tikhvin,59.6451,33.5294,-19.97,99,92,1.2,RU,2024-01-01
197,alice springs,-23.7,133.8833,34.75,10,94,2.57,AU,2024-01-01
198,mount pearl,47.5166,-52.7813,0.18,90,75,5.14,CA,2024-01-01
